Author/Writer,About the Author,AuthorID
Richard Peet and Elaine Hartwick,"Richard Peet is Professor of Geography at Clark University in Worcester, Massachusetts.  Elaine Harwick is Associate Professor of Geography at Framingham State College in Framingham, Massachusetts.",285
Sheobahal Singh,"Sheobahal Singh, after obtaining Master’s degree in Sociology from Rajasthan University, Jaipur in 1969, started his career as a Lecturer in Tilak Dhari (PG) College, Jaunpur, UP. In 1977, he left the college to join ICSSR Teacher Fellowship for pursuing his Ph.D. work and then joined Gorakhpur University, Gorakhpur in 1980 as Lecturer from where he retired as Professor and Head of the Department of Sociology in June 2009. Presently he is also a member of the Managing Committee of Indian Sociological Society.His major areas of interest are sociology of entrepreneurship, development and social change. Apart from several articles in reputed journals and readings, his significant publications include a textbook Introducing Sociology for NCERT, New Delhi, both in English and Hindi.",286
Jennifer A. Elliott ,Jennifer A. Elliott is Principal Lecturer in Geography at the University of Brighton. ,287
Yagati Chinna Rao (Ed.),"Yagati Chinna Rao is Associate Professor at Programme for the Study of Discrimination and Exclusion (PSDE), School of Social Sciences, Jawaharlal Nehru University, New Delhi. He has held the position of Member Secretary, Indian Council for Historical Research (ICHR), New Delhi, and has also been Visiting Fellow at the Centre for South Asian Studies, University of Edinburgh, Scotland. His earlier works include: “Dalits’ Struggle for Identity” (2003); “Dalit Studies: A Bibliographical Handbook” (2003); “Writing Dalit History and Other Essays” (2007); also co-edited (with S. Bhattacharya et al.) “Development of Women’s Education in India, 1850-1921: Selections from Documents” (2001) and “Educating the Nation: Documents on the Discourse of National Education in India, 1880-1920” (2003).",288
P. Vijayalakshmi Reddy (Ed.),"P. Vijayalakshmi Reddy is Dean, Faculty of Social Sciences, Osmania University, Hyderabad. Having more than three decades of experience in teaching and research, she has several papers published in national journals as well as books in sociological theory and medical sociology.",289
"Paul Hoggett, Marjorie Mayo and Chris Miller"," Paul Hoggett is Professor of Politics and Director of the Centre for Psycho-Social Studies at the University of the West of England, Bristol.  Marjorie Mayo is Professor of Community Development at Goldsmiths College, University of London.  Chris Miller is Professor of Social Work, Flinders University, South Australia.",290
K.S. Bhat (Ed.),"K.S. Bhat was closely associated with the founders of the Council for Social Development (CSD) – Dr. (Smt.) Durgabai Deshmukh and Dr. C.D. Deshmukh. He strived hard to realise the dream of the founders in creating a required infrastructure for the Council at Hyderabad. A social scientist by training, Dr. Bhat has many research projects and publications to his credit. Presently he is the Regional Director in the Southern Regional Centre of CSD, Hyderabad.",291
Ananta Kumar Giri,"Ananta Kumar Giri is currently on the faculty of Madras Institute of Development Studies, Chennai, India and has worked and taught in many universities in India and abroad including University of Kentucky, USA; Aalborg University, Denmark and Albert Ludwig Universitat, Freiburg, Germany. Dr. Giri has an abiding interest in social movements and social theory. Dr. Giri has written numerous books in Oriya and English. Among his previous books are: “Global Transformations: Postmodernity and Beyond” (1998), “Sameekhya o Purodrusti” [Criticism and the Vision of the Future, 1999], “Conversations and Transformations: Toward a New Ethics of Self and Society” (2002); “Building in the Margins of Shacks: The Vision and Projects of Habitat for Humanity” (2002); “Reflections and Mobilizations: Dialogues with Movements and Voluntary Organizations” (2004); “Hrudayara Sehi Akhi Duiti” [Those Two Eyes of the Heart, 2007]; “A Moral Critique of Development” (co-editor, 2003); “Creative Social Research: Rethinking Theories and Methods” (editor, 2004); “Religion of Development, Development of Religion” (co-editor, 2004); and “The Modern Prince and Modern Sage: Transforming Power and Freedom” (2008; editor).",292
M.S. Nathawat and A.C. Pandey (Eds.)," M.S. Nathawat is Professor, Department of Remote Sensing, Birla Institute of Technology, Mesra, Ranchi. He has been awarded citation for his contributions to the field of Remote Sensing by CLUMA, Hyderabad in association with Bhuvigyan Foundation. He has numerous research papers published on geoinformatics applications in various areas. He is Principal Investigator in a number of prestigious projects sponsored by National Remote Sensing Agency, Space Application Centre and Department of Science  Technology, Government of India on desertification, land and water audit, glacier studies, and wasteland mapping.  A.C. Pandey is Senior Lecturer, Department of Remote Sensing, Birla Institute of Technology, Mesra, Ranchi. He obtained his M.Sc. (Applied Geology) and Ph.D. degrees from University of Delhi, Delhi. He has several research papers published on remote sensing applications in various areas. He is the editor of Resource Atlas of Haryana published by HSCST, Chandigarh. He is Deputy Coordinator of UGC (SAP) and is presently engaged in a number of national projects on desertification, land and water audit, ground water contamination, forest fires, landslides and glaciers retreat.",293
Kishor C Samal,"Kishor C Samal is Professor of Economics in Nabakrushna Choudhury Centre for Development Studies, Bhubaneswar. His areas of interest are Informal Sector and Industries, Macro-Economics, Poverty, Natural Resources Management, and Disaster Management. Besides a number of books, he has published about 155 research papers in esteemed journals.",294
Thomas Sebastian,"Thomas Sebastian is a part-time visiting lecturer in the Department of Economics, Birmingham University, Birmingham, UK.",295
John Hudson and Stuart Lowe,"John Hudson, Lecturer in Social Policy and Stuart Lowe, Senior Lecturer in Social Policy, are both political scientists who teach and research in the Department of Social Policy and Social Work at the University of York, UK.",296
Paula Chakravartty and Katharine Sarikakis," Paula Chakravartty is Assistant Professor of Communication at the University of Massachusetts Amherst.  Katharine Sarikakis is Senior Lecturer in Communications Policy and Course Director MA in Communications Studies, University of Leeds.",297
N. Ravichandran,"N. Ravichandran has graduated from Tata Institute of Social Sciences, Mumbai. He is a Fellow of The Population Council and South-Asia Network of Economic Research Institutes. His research has addressed a range of issues related to reproductive health, maternal health, managed care and financing of non-governmental sectors. Besides several books, he has published several research papers in the area of population and reproductive health. Presently, he is a faculty at Indian Institute of Health Management Research, New Delhi.",298
"Dugan Laird, Sharon S. Naquin and Elwood F. Holton (Eds.)"," Dugan Laird was a pioneer in the field of training and human resource development. Recipient of numerous awards and honors, he was author of several books, including Writing for Results. He died in 1984.  Sharon S. Naquin, Ph.D. is the Executive Director of the Public Management Program and Director of the Office of HRD Research at the School of Human Resource Education and Workforce Development at Louisiana State University. Co-author of several books and numerous articles, she lives in Baton Rouge, Louisiana.  Elwood F. Holton Ed.D., is the Jones S. Davis Professor of Human Resource, Leadership and Organization Development at Louisiana State University. Author of eighteen books, he is editor of “Human Resource Development Review” and has published widely in such journals as “Advances In Developing Human Resources, Human Resource Development Quarterly and Human Resource Development International.” He lives in Baton Rouge, Louisiana.",299
Antony Palackal and Wesley Shrum (Eds.)," Antony Palackal is faculty in the PG Department of Sociology, Loyola College of Social Sciences, Trivandrum and the India Coordinator of World Science Project.  Wesley Shrum is Professor of Sociology, Louisiana State University, USA and Secretary, Society for Social Studies of Science. He is the Project Manager and overall coordinator of the World Science Project.",300
Stephen Legg,Stephen Legg received his doctorate at the University of Cambridge and now lectures at the University of Nottingham.,301
Amiya Kumar Das,"Amiya Kumar Das obtained Bachelor of Architecture from Maharaja Sayaji Rao University, Baroda; Master of City Planning from IIT, Kharagpur; and Master of Science in Planning from Florida State University, USA. He worked as an Assistant Town Planner for the Government of Assam 1967 to 1969 and moved to the United States, where he worked in an architectural firm; as a home builder; and in the Florida state Government. He retired in 2004. He worked in the fields of architecture, home design and construction, comprehensive planning, housing research, community development, and building codes. Besides a couple of books, Das is the author of about three dozen of articles on various subjects and published in several newspapers.",302
Ian Goldin and Kenneth Reinert,"Ian Goldin, Ph.D. (Oxford University), became a Vice President at the World Bank in May 2003. Previously, he was the Director of Development Policy at the World Bank. Prior to rejoining the Bank in February 2001, Dr. Goldin spent five years as the Chief Executive and Managing Director of the Development Bank of Southern Africa (DBSA) where he led the Bank to become a principal financier of infrastructure and small business development. Dr. Goldin has published 11 books and numerous articles. His research and publications have focused on economic policy, development, natural resources and the environment, and trade.  Kenneth A. Reinert, Ph.D. (University of Maryland), is Associate Professor of Public Policy at George Mason University, where he received a Distinguished Teaching Award in 2003. He has held the positions of Senior International Economist at the U.S. International Trade Commission and Associate Professor of Economics at Kalamazoo College. Professor Reinert has published widely in the areas of international trade, economic development, and environmental policy.",303
Jo Rowlands,Jo Rowlands is a Policy Adviser on Gender and Participation in Oxfam GB’s UK Poverty Programme.,304
Dorienne Rowan-Campbell,Dorienne Rowan-Campbell is an independent development consultant based in Jamaica.,305
Tina Wallace," Tina Wallace teaches at Oxford Brookes University.  Tom Hewitt and Hazel Johnson are Lecturers at The Open University, UK.",306
Ernst Ligteringen,Ernst Ligteringen is Executive Director of Oxfam International.,307
Firoze Manji,Firoze Manji was formerly the Director of the Africa Programme of Amnesty International.,308
Deborah Eade (Ed.),Deborah Eade has worked in the NGO sector for 20 years and is Editor of “Development in Practice.”,309
Sudha Mohan,"Sudha Mohan is a Reader in Politics, Department of Civics and Politics, University of Mumbai, India. She has published in the areas of Urban Governance, Role and Relevance of Civil Society, Decentralisation and Citizen Participation, Civil Society Activism in the Age of Globalisation, among others. Dr. Mohan is the recipient of the Sr. Fulbright Fellowship (2004-2005) to pursue post-doctoral research and is currently at Columbia University, New York City.",310
Jeremy Seabrook,"Jeremy Seabrook has been a teacher, social worker and lecturer, and has written plays for theater, TV and radio. He has contributed to many journals and newspapers, including the New Internationalist, Third World Network, New Statesman and The Ecologist, and at present writes for The Statesman in Kolkata (Calcutta).",311
Maggie Black,"Maggie Black is an independent writer and editor on social issues relating to International development, particularly in the fields of children’s and women’s rights, and water resource management.",312
Deepa Narayan (Ed.),"Deepa Narayan is with the World Bank’s Poverty Reduction and Economic Management program, and writes under the leadership of the Bank’s senior management. She highlights the World Bank’s current thinking on empowerment to improve development effectiveness.",313
S.K. Pant (Ed.),"S.K. Pant, an economist by training, has been on the faculty of the G.B. Pant Social Science Institute, Allahabad for over two decades. He has contributed more than two dozen research articles in national and international journals and has undertaken several projects on various socio-economic issues, sponsored by prestigious organisations like the Planning Commission, NCERT, Ministry of Human Resource Development, Rajiv Gandhi National Drinking Water Mission, Rajiv Gandhi Foundation, National Literacy Mission, etc.",314
"Atul Kohli, Chung-in Moon and Georg S"," Atul Kohli is Professor of Politics and International Affairs at Princeton University.  Chung-in Moon is Dean of the Graduate School of International Studies and Professor of the Political Science Department at Yonsei University, Seoul.  Georg Sørensen is Professor of International Politics and Economics at the University of Aarhus, Denmark.",315
"S.N. Pawar, J.B. Ambekar and D. Shrikant (Eds.)"," S.N. Pawar is former Professor and Head, Department of Sociology, Shivaji University, Kolhapur. His areas of specialisation include Rural Sociology and Sociology of Modernization and Development.  J.B. Ambekar is Professor of Sociology, Department of Sociology, Shivaji University, Kolhapur. He specialises in Sociology of Communication, Social Anthropology and Environment and Development. He has presented papers at the national and international conferences.  D. Shrikant, Senior Lecturer, Department of Sociology, Shivaji University, Kolhapur, is specialised in Sociology of Environment and Sociology of Minorities, and has actively participated in a number of seminars, workshops and conferences.",316
H.Y. Siddiqui,"H.Y. Siddiqui teaches social work in the Department of Social Work, Jamia Millia Islamia, New Delhi. He has visited Center for Social Development at George Warren Brown School of Social Work, Washington University at St Louis (USA) as a Fulbright Scholar, and Massey University in New Zealand and McMaster University in Canada as Visiting Professor.",317
Manish Kumar Verma,"Manish Kumar Verma, a member of Rajasthan Higher Education Service, is teaching sociology at Government College, Kota. Earlier, he was Sociologist at National Thermal Power Corporation, New Delhi. Having attained a doctoral degree from Jawaharlal Nehru University, he has published several research papers too.",318
"Surya Kant, Nina Singh, Jagdish Singh and A.B. Mukerji (Eds.)"," Surya Kant teaches Geography at the Panjab University, Chandigarh.  Nina Singh, Professor of Geography at Maharishi Dayanand University, Rohtak, has research interests in the study of development process from spatial perspective and Urban Geography.  Jagdish Singh, formerly Professor and Head, Department of Geography, University of Gorakhpur, Gorakhpur, is at present the President of the National Association of Geographers of India (NAGI) and Director, Grameen Samvikas Sansthan, Gorakhpur.  A.B. Mukerji, formerly Professor and Head, Department of Geography, Panjab University, Chandigarh, visited several universities in Europe and USA as Visiting Professor. He is widely known Indian scholar for his contribution to Cultural Geography.",319
"James H. Weaver, Michael T. Rock and Kenneth Kusterer"," James H. Weaver is professor emeritus of economics at The American University. He served as senior economist of USAID’s Development Studies Program until 1992. Among his books is Economic “Development: Competing Paradigms.” He received his M.Div. from Wesley Theological Seminary in 1996.  Michael T. Rock is senior economist for the Winrock International Institute for Agricultural Development. He held the position of associate Director for the Winrock Center for Economic Policy Studies from 1992 to 1994. He has published numerous articles on economics and the environment. Previously, he was dean of faculty at Bennington College where he taught economics and international political economy.  Kenneth Kusterer is chairperson of the department of sociology at The American University. He coedited “Women at the Center: Development Issues and Practices for the 1990s” with Gay Young and Vidyamali Samarasinghe published by Kumarian Press.",320
"Jose Murickan, M.K. George, K.A. Emmanuel, Jose Boban and Prakash Pillai R."," Jose Murickan has been the Programme Coordinator at Indian Social Institute, Bangalore and formerly Principal, Loyola College of Social Sciences, Thiruvananthapuram.  M.K. George is the Vice-Principal and Faculty in the Post Graduate Department of Sociology, Loyola College of Social Sciences, Thiruvananthapuram.  K.A. Emmanuel is the Senior Faculty, Loyola Extension Services, Loyola College of Social Sciences, Thiruvananthapuram.  Jose Boban is the Faculty in the Post Graduate Department of Sociology, Loyola College of Social Sciences, Thiruvananthapuram.  Prakash Pillai R. is the Faculty in the B.C.M. College, Kottayam.",321
Shalendra D. Sharma,Shalendra D. Sharma is AssociateProfessor of Politics and Director of the Master of Arts in Asia-PacificStudies Program at the University of San  Francisco.,322
M.S. Gore,"A renowned social scientist, M.S. Gore has had a brilliant academic and professional career. He worked as Principal, Delhi School of Social Work from 1954 to 1962 before he joined the Tata Institute of Social Sciences as its Director and remained there until his retirement in 1982. From 1983 to 1986 he was Vice-Chancellor of the University of Bombay. His last important assignment was Chancellor, Jawaharlal Nehru University, New Delhi.His major areas of interest have been social work and sociology, on which he has written several books and papers. His book on Ambedkar’s social and political thought won him the Ghurye Award for the best book published in sociology in 1993.He has also been a recipient of various awards, the most prominent amongst them being the Padma Bhushan presented by the President of India in 1975.",323
Naresh Kumar Vaidya,"नरेश वैद्य (जन्म 1955): पंजाब विश्वविद्यालय से मानवशास्त्र में स्नातक (आनर्ज) एवं स्नातकोत्तर (आनर्जस्कूल), दिल्ली विश्वविद्यालय से शोध। वर्तमान पीढ़ी के प्राख्यात मानवशास्त्री, भोटिया एवं राजि जनजातियों के विशेषज्ञ। विभिन्न पत्र-पत्रिकाओं, शोध पत्रिकाओं में सैंकड़ों निबंध प्रकाशित, समाजविज्ञानों की पत्रिकामानव के प्रबंध संपादक, जैविक मानवशास्त्र, इकॉनॉमी एण्ड सोशल रिलेशन्स, हू केयर्स फॉर ट्राइबल डेवलपमेन्ट जैसी प्रसिद्ध पुस्तकों के लेखक। भूतपूर्व पत्रकार, शिक्षक, सामाजिक कार्यकर्ता, ‘इरा’ देहरादून एवं ‘तुलसी संस्थान’ इलाहाबाद के द्वारा समाज विकास कार्य में रत, देश में मानवशास्त्र के प्रचार-प्रसार में महत्वपूर्ण भूमिका।",324
R.B. Singh (Ed.),"R B. Singh is Research Scientist, Department of Geography, Delhi School of Economics, University of Delhi. He has been writing in his areas of specialization, namely, Environmental Studies, Remote Sensing, GIS Technology and Urban  Regional Development, and has also brought out several books. The UNESCO/ISSC also awarded him 1998 Research and Study Grants Award in Social and Human Sciences.",325
Henri Bartoli,"Henri Bartoli is Emeritus Professor of Economics at University of Paris I – Pantheon-Sorbonne and international vice president of the European Society for Culture. Among other publications, he has published a trilogy consisting of “Economie et creation collective, L’economie multidimensionnelle” (both published by Editions Economica) and “L’economie service de la Vie” (Presses Universitaires de Grenoble).",326
Kalipada Deb ,"Kalipada Deb has been Professor in the Department of Commerce, North Bangal University, since 1981. Earlier, he headed the Department at Gauhati University also. He has published several research level books. ",327
Rajani Kanth (Ed.),,328
Vinod Vyasulu,"Vinod Vyasulu is a Consulting economist and Director of the Development Research Foundation set up by Technology Informatics Design Endeavour – an independent, non-profit society based in Bangalore.",329
J. Milton Yinger,"J. Milton Yinger is Professor Emeritus of Sociology and Anthropology at Oberlin College, Oberlin, Ohio.",330
Dhirendra Vajpeyi and R. Natarajan (Eds.),"Dhirendra Vajpeyi is a Professor of Political Science at the University of Northern LowaR. Natarajan is currently an Associate Professor, College of Business, Tennessee Technological University.",331
Amba Pande (ed.),"Amba Pande, Centre for Indo-Pacific Studies, School of International Studies, Jawaharlal Nehru University, New Delhi, India",332
Ajay K. Chaubey and Shilpa Daithota Bhat (Eds),"Ajay K. Chaubey is a Senior Assistant Professor of English at the Department of Humanities and Social Sciences, National Institute of Technology, Uttarakhand. He is also a Coordinator of the Department at the NIT-UK (Satellite Campus, MNIT, Jaipur). His major publications include V.S. Naipaul (2015) and Salman Rushdie (2016). Additionally, he has number of essays, interviews and book reviews to his credit, which have appeared in national and international magazines and journals of India, Thailand, Australia, UK and Canada. He has attended, participated and presented research papers in the conferences and symposia held in India and England including York St. John University, York; Nottingham Trent University, Nottingham and University of Leicester, Leicester (UK) during June 2014. Dr Chaubey has recently published two volumes – South Asian Diasporic Cinema and Theatre and Mapping South Asian Diaspora: Recent Responses and Ruminations.Shilpa Daithota Bhat is an Assistant Professor of English in Ahmedabad University, Gujarat. She is the first recipient of Lorna Marsden International Visitor Fellowship to York University, Canada (2015). A Commonwealth Fellow to the University of Toronto, she was also a recipient of the Pacific Asia Network of Canadian Studies (PANCS) grant to Korea University. She has travelled to McGill University, University of Western Ontario, University of Toronto and University of York, Canada, for research. Her areas of interest are South Asian Narratives, Diaspora and Postcolonial Theories, Canadian Studies and Children’s Literature. She is the author of Indians in Victorian Children’s Narratives: Animalizing the ‘Native’, 1830–1930.",333
"Laxmi Narayan Kadekar, Ajaya Kumar Sahoo and Gauri Bhattacharya (Eds.)"," Laxmi Narayan Kadekar is a Reader in the Department of Sociology, University of Hyderabad, Hyderabad.  Ajaya Kumar Sahoo is a Lecturer in the Centre for the Study of Indian Diaspora, University of Hyderabad, Hyderabad.  Gauri Bhattacharya is a Senior Lecturer in the School of Social Work, Columbia University, New York.",334
Ajay K. Chaubey and Asis De (eds),"Ajay K. Chaubey is Assistant Professor (English) at the Department of Sciences  Humanities, National Institute of Technology, Uttarakhand. His published works include South Asian Diasporic Cinema, V.S. Naipaul and Salman Rushdie. His essays, book reviews and interviews have appeared in the journals, anthologies and magazines of national/international repute. Asis De is Associate Professor of English and Head, Department of English Language and Literature, Mahishadal Raj College, Mahishadal, West Bengal. His research interests include the study of identity negotiation in newer/diasporic cultural spaces with particular reference to postcolonial Anglophone fiction (South-Asian, African and Caribbean).",335
Ajay K. Chaubey and Ashvin I. Devasundaram (eds),"Ajay K. Chaubey is Assistant Professor in English at the Department of Sciences and Humanities, National Institute of Technology, Uttarakhand. Prior to this, Ajay has shared his knowledge and experience in the premier institutions of Uttar Pradesh, Rajasthan and New Delhi. His major publications include the volumes on V.S. Naipaul and Salman Rushdie followed by two other volumes on the literature of the Indian Diaspora. Ajay loves to travel extensively and this devouring desire impelled him to attend, partake and present research papers in conferences, symposia and workshops held in India and England. He is a Life Member of the academic organizations, viz. IACLALS, AESI and Sahitya Akademi, New Delhi, among others. Ashvin I. Devasundaram is Lecturer in World Cinema at Queen Mary University of London. He is Programming Adviser to the London Asian Film Festival (LAFF), Creative Director of the Edinburgh Asian Film Festival (EAFF), and a BBC Academy Expert Voice in Cultural Studies and Visual Arts. His most recent publication include India’s New Independent Cinema: Rise of the Hybrid (Routledge, 2016). He is on the Editorial Board of peer-reviewed The South Asianist, Journal of South Asian Studies, University of Edinburgh. Ashvin is also on the Advisory Panel for BFI India on Film – a major initiative charting India’s cinema heritage and history – part of the UK–India Year of Culture 2017.",336
Amit Sarwal,"Amit Sarwal is a Producer at SBS Hindi Radio in Melbourne, Australia. He is also an Honorary Associate Professor of RMIT University and the Founding Convenor of Australia-India Interdisciplinary Research Network (AIIRN). He was a postdoctoral fellow at Deakin University and has also taught as Assistant Professor at the University of Delhi. He has many books to his credit, prominent being: Salaam Bollywood (Routledge, 2016), Labels and Locations (CSP, 2015), Bollywood and its Other(s) (Palgrave Macmillan, 2014), and Wanderings in India (Monash UP, 2012).",337
Angshuman Kar (Ed.) ,"Angshuman Kar is Associate Professor and former Head, Department of English and Culture Studies, The University of Burdwan, West Bengal. He has also served the Sahitya Akademi as the Secretary of the Eastern Region. He has been widely published in India and abroad and has coedited The Politics of Social Exclusion in India: Democracy at the Crossroads. Kar is also the recipient of the Australia-India Council Fellowship (2006) and a well-known Bengali poet. ",338
Jasbir Jain ,"Jasbir Jain is the Honorary Director of the Institute for Research in Interdisciplinary Studies (IRIS), Jaipur and was Sahitya Akademi Writer-in-Residence (2009), and Emeritus Fellow (2001–2003) both at the University of Rajasthan. Recipient of several prestigious awards and fellowships, she is an elected Life Member of Clare Hall, Cambridge and has had teaching assignments in Europe and the United States.Amongst her recent publications are Indigenous Roots of Feminism: Culture, Subjectivity and Agency (2011), Experiential Aesthetics (2012) and Theorising Resistance: History, Politics and Narrative (2012). Her monograph on Forgiveness: Between Memory and History is in process.",339
"Malashri Lal, Chandra Mohan, Enakshi K. Sharma, Devika Khanna Narula,Amrit Kaur Basra (Eds) ","Malashri Lal is Dean of Colleges and Professor of English at the University of Delhi and has held senior administrative positions in the same university. Her academic specialization is in Women and Gender Studies about which she has eleven books, the best remembered being In Search of Sita : Revisiting Mythology (2009). Her latest international publication is Tagore and the Feminine: A Journey through Translations (Sage 2015).Chandra Mohan is currently Advisor, International Higher Education, Central University of Gujarat, Gandhinagar. He is the General Secretary of Comparative Literature Association of India. He also held the position of President, Indian Association for Canadian Studies. His recent book (coed.) is Interdisciplinary Alter-natives in Comparative Literature (Sage 2013).Enakshi K. Sharma is Professor and Head, Department of Electronic Science and Director, Centre for Canadian Studies, University of Delhi, South Campus, New Delhi.Devika Khanna Narula is Associate Professor, Department of English at Delhi College of Arts and Commerce, University of Delhi.Amrit Kaur Basra is Associate Professor of History at Delhi College of Arts and Commerce, Delhi University. She is also Deputy Dean (Foreign Students); Fellow, History and Academic Secretary, Institute of Lifelong Learning.",340
Poonam Bala,"Poonam Bala is currently a Visiting Professor at the Centre for Studies in Science Policy (School of Social Sciences) at Jawaharlal Nehru University, New Delhi and an affiliated Visiting Scholar at Cleveland State University. She is also the founding member of the Asian Indian Heritage Project in Ohio and has held various national and international scholarships/ fellowships besides holding teaching positions at universities in India, Canada and the US. With a range of research interests and expertise in policies and health/medicine, alternative medicine, history of medicine and society, race and health, she has authored and edited several books and articles. Her select publications include Imperialism and Medicine in Bengal: A Socio-Historical Perspective; Medicine and Medical Policies in India; Biomedicine as a Contested Site: Some Revelations in Imperial Contexts; Contesting Colonial Authority: Medicine and Indigenous Responses in 19th and 20th-century India and Medicine and Colonialism: Historical Perspectives in India and South Africa. ",341
Paramjit S. Judge (ed.),"Paramjit S. Judge is Professor of Sociology and, at present, Dean, Academic Affairs, Guru Nanak Dev University, Amritsar, Punjab. He was Dr. B.R. Ambedkar National Fellow (2013–14) of the Indian Council of Social Science Research, New Delhi.His major areas of specialisation are social movements, social change, sociology of Dalits, and diaspora studies. Some of his major works are: Insurrection to Agitation: The Naxalite Movement in Punjab, Mapping Dalits, Changing Dalits, Foundations of Classical Sociological Theory, Towards Sociology of Dalits, and Mapping Social Exclusion in India. He is also a creative writer and an eminent Punjabi novelist. ",342
"Sharmina Mawani, Anjoom A. Mukadam (Eds.) ","Sharmina Mawani is a Lecturer in the Department of Graduate Studies at the Institute of Ismaili Studies, London. She holds a PhD in Religious Studies from the School of Oriental and African Studies, University of London.  Her research interests include ethno-religious identities, Gujarati Muslims in Britain and Canada, processes of acculturation, religious commodification, and South Asian devotional literature. Sharmina is the co-founder of the Gujarat Studies Association and currently serves on its Executive Board.  She has co-edited two volumes on the Gujaratis: Gujaratis in the West: Evolving Identities in Contemporary Society (2007) and Gujarati Communities Across the Globe: Memory, Identity and Continuity (2012).Anjoom Mukadam is a Lecturer in the Department of Graduate Studies at the Institute of Ismaili Studies, London. She received her doctorate in Sociolinguistics from the University of Reading.  Anjoom brings an interdisciplinary perspective to her research and teaching. Her main research interests are in the arena of ethno-linguistic and religious identities of British Muslim youth of Gujarati ancestry. She co-founded the Gujarat Studies Association and is its current President.  Her publications include a co-edited volume entitled Gujaratis in the West: Evolving Identities in Contemporary Society and several book chapters and journal articles. Her most recent publication is a co-edited volume entitled Gujarati Communities Across the Globe: Memory, Identity and Continuity.",343
"Sukanya Banerjee, Aims McGuinness, and Steven C. McKay (Eds)","Sukanya Banerjee is Associate Professor of English at the University of Wisconsin– Milwaukee and author of Becoming Imperial Citizens: Indians in the Late-Victorian Empire.Aims McGuinness is Associate Professor of History at the University of Wisconsin– Milwaukee and author of Path of Empire: Panama and the California Gold Rush, 1848–1856.Steven C. McKay is Associate Professor of Sociology at the University of California, Santa Cruz. He is author of Satanic Mills or Silicon Islands? The Politics of High-Tech Production in the Philippines. ",344
Prit Paul,"Prit Paul is working as an assistant professor of criminal justice at Auburn University at Montgomery, Alabama, USA. She obtained her post-doctorate from California State University, Sacramento, California, USA, and PhD in Sociology of Law from Panjab University, Chandigarh, India. ",345
P. Pratap Kumar ,"P. Pratap Kumar is an emeritus professor of Hindu Studies and Comparative Religions at the University of KwaZulu-Natal, Durban, South Africa. Besides publishing scholarly articles in international publications, he has authored and edited several books, such as The Goddess Lakshmi in South Indian Vaishnavism, South Asians in the Diaspora: Their Histories and Traditions (co-editor: Knut Jacobsen) and Religious Pluralism and the Diaspora (edited). He is the Associate Editor of the journal – South Asian Diaspora – and also serves on the editorial boards of several other distinguished journals. ",346
Ajaya Kumar Sahoo and Laxmi Narayan Kadekar (eds.)," Ajaya Kumar Sahoo is Assistant Professor at the Centre for Study of Indian Diaspora, University of Hyderabad, India. His research interests include international migration, Indian diaspora, religion, and social movements.  Laxmi Narayan Kadekar is Professor at the Department of Sociology, University of Hyderabad, India. His academic interests lie in the fields of urban sociology, urban and regional geography, social demography and Indian diaspora.",347
"Ajaya Kumar Sahoo, Michiel Baas and Thomas Faist (Eds.)","Ajaya Kumar Sahoo is Assistant Professor at the Centre for Study of Indian Diaspora, University of Hyderabad, Hyderabad, India.Michiel Baas is a coordinator with the International Institute for Asian Studies in Amsterdam/Leiden, The Netherlands.Thomas Faist is Professor of Transnationalization and Development, Faculty of Sociology, University of Bielefeld, Germany.",348
Sanjiv Kumar,"Sanjiv Kumar is on the Faculty of English, Central University of Haryana, Jant-Pali, Mahendergarh. His major areas of interest are Dalit Literature, Diaspora Studies, Indian Writing in English and Multidisciplinary Approach to Culture Studies and has an impressive list of publications in these areas.",349
Kim Knott and Sean McLoughlin," Kim Knott is professor of religious studies at the University of Leeds, UK, and director of Diasporas, Migration and Identities, a programme funded by the Arts and Humanities Research Council (AHRC) that has brought scholars together from all over Britain and from a wide range of disciplines. She has worked on South Asian religious diasporas, particularly British Hindus, and on migration, ethnicity and identity, with publications including “Hindus in Leeds, My Sweet Lord: The Hare Krishna Movement, and Hinduism: A Very Short Introduction”. In conjunction with government and voluntary sector partners she has researched issues of religious and ethnic diversity and representation. In “The Location of Religion: A Spatial Analysis” and later articles, she has developed a spatial methodology for researching places, bodies and organizations in which controversies occur about matters of sacred concern, whether religious, secular or post-secular.  Seán McLoughlin is senior lecturer in the Department of Theology and Religious Studies at the University of Leeds, UK. Trained in the study of religion, Islam and anthropology, he is an expert on various aspects of South Asian heritage Muslims in Britain and has worked on a number of public projects, as well as giving invited lectures across Europe and in the United States. Co-editor of “European Muslims and the Secular State”, most recently he was principal investigator on an AHRC Diasporas’ network, From Diaspora to Multi-Locality: Writing British-Asian Cities (2006 – 09). A related co-edited volume, “Writing the City in British-Asian Diasporas”, is in preparation, as is a single-authored book, “Representing Muslims: Religion, Diaspora and the Politics of Identity”.  “Diasporas” is an essential text for anyone studying, working or interested in this increasingly vital subject. ",350
